Type,value,sd,trait,treatment
S,0.163608,0.877011,asv_000629,HN
ResVar,0.054041,0.006623,asv_000629,HN
GenVar,0.002325,0.003957,asv_000629,HN
hsq,0.04123,0.069678,asv_000629,HN
Pi,0.002872,0.002712,asv_000641,HN
NnzSnp,2150.99585,2031.759888,asv_000641,HN
SigmaSq,1e-06,1e-06,asv_000641,HN
S,-0.128264,0.864961,asv_000641,HN
ResVar,0.002316,0.000539,asv_000641,HN
GenVar,0.000363,0.000488,asv_000641,HN
hsq,0.135516,0.180886,asv_000641,HN
Pi,0.002556,0.002313,asv_000672,HN
NnzSnp,1913.882812,1732.283569,asv_000672,HN
SigmaSq,4e-06,7e-06,asv_000672,HN
S,0.137508,1.041143,asv_000672,HN
ResVar,0.016255,0.003446,asv_000672,HN
GenVar,0.001948,0.003051,asv_000672,HN
hsq,0.107038,0.166109,asv_000672,HN
Pi,0.001864,0.001949,asv_000674,HN
NnzSnp,1395.018311,1459.527466,asv_000674,HN
SigmaSq,0,1e-06,asv_000674,HN
S,0.212541,0.797358,asv_000674,HN
ResVar,0.001494,0.000166,asv_000674,HN
GenVar,4.8e-05,7.8e-05,asv_000674,HN
hsq,0.031036,0.050023,asv_000674,HN
Pi,0.002832,0.002416,asv_000719,HN
NnzSnp,2120.951172,1810.148682,asv_000719,HN
SigmaSq,0,0,asv_000719,HN
S,-0.135578,0.904727,asv_000719,HN
ResVar,0.000435,0.000119,asv_000719,HN
GenVar,8.2e-05,0.000112,asv_000719,HN
hsq,0.158287,0.214258,asv_000719,HN
Pi,0.002607,0.002442,asv_000791,HN
NnzSnp,1952.221436,1828.960938,asv_000791,HN
SigmaSq,0,0,asv_000791,HN
S,-0.180149,0.839881,asv_000791,HN
ResVar,7.4e-05,2.2e-05,asv_000791,HN
GenVar,2e-05,2.1e-05,asv_000791,HN
hsq,0.211776,0.219992,asv_000791,HN
Pi,0.00316,0.002719,asv_000860,HN
NnzSnp,2366.693604,2036.026978,asv_000860,HN
SigmaSq,0,1e-06,asv_000860,HN
S,-0.67183,0.842921,asv_000860,HN
ResVar,0.000582,0.000289,asv_000860,HN
GenVar,0.000348,0.000288,asv_000860,HN
hsq,0.373087,0.305003,asv_000860,HN
Pi,0.003306,0.002684,asv_000862,HN
NnzSnp,2475.625977,2010.343994,asv_000862,HN
SigmaSq,1.2e-05,2e-05,asv_000862,HN
S,-0.161111,0.749877,asv_000862,HN
ResVar,0.013315,0.004508,asv_000862,HN
GenVar,0.005096,0.004382,asv_000862,HN
hsq,0.276173,0.234393,asv_000862,HN
Pi,0.003079,0.002966,asv_000896,HN
NnzSnp,2305.947998,2221.339355,asv_000896,HN
SigmaSq,0,1e-06,asv_000896,HN
S,-0.08631,0.791006,asv_000896,HN
ResVar,0.00152,0.000321,asv_000896,HN
GenVar,0.00022,0.000286,asv_000896,HN
hsq,0.126474,0.162197,asv_000896,HN
Pi,0.001885,0.001863,asv_000906,HN
NnzSnp,1410.976318,1395.412964,asv_000906,HN
SigmaSq,1e-06,3e-06,asv_000906,HN
S,-0.036064,0.86192,asv_000906,HN
ResVar,0.005886,0.000988,asv_000906,HN
GenVar,0.00052,0.000815,asv_000906,HN
hsq,0.080982,0.125547,asv_000906,HN
Pi,0.003704,0.002884,asv_000920,HN
NnzSnp,2773.815918,2159.556641,asv_000920,HN
SigmaSq,2e-06,3e-06,asv_000920,HN
S,-0.3478,0.703166,asv_000920,HN
ResVar,0.002625,0.001069,asv_000920,HN
GenVar,0.001233,0.00105,asv_000920,HN
hsq,0.318983,0.268493,asv_000920,HN
Pi,0.0021,0.002109,asv_000986,HN
NnzSnp,1572.14624,1579.030151,asv_000986,HN
SigmaSq,2e-06,3e-06,asv_000986,HN
S,0.197033,0.878263,asv_000986,HN
ResVar,0.008583,0.001202,asv_000986,HN
GenVar,0.00049,0.000859,asv_000986,HN
hsq,0.054006,0.093745,asv_000986,HN
Pi,0.002389,0.002288,asv_001001,HN
NnzSnp,1788.559814,1714.003174,asv_001001,HN
SigmaSq,2e-06,3e-06,asv_001001,HN
S,-0.008714,0.875142,asv_001001,HN
ResVar,0.013749,0.002217,asv_001001,HN
GenVar,0.000976,0.001757,asv_001001,HN
hsq,0.066313,0.118432,asv_001001,HN
Pi,0.002336,0.002459,asv_001011,HN
NnzSnp,1748.936401,1842.2948,asv_001011,HN
SigmaSq,0,0,asv_001011,HN
S,0.100408,0.838192,asv_001011,HN
ResVar,0.000134,2.2e-05,asv_001011,HN
GenVar,1.1e-05,1.7e-05,asv_001011,HN
hsq,0.074466,0.117128,asv_001011,HN
Pi,0.00217,0.00222,asv_001026,HN
NnzSnp,1625.000854,1662.701904,asv_001026,HN
SigmaSq,0,0,asv_001026,HN
S,0.06445,0.888545,asv_001026,HN
ResVar,0.001167,0.000178,asv_001026,HN
GenVar,7.4e-05,0.000136,asv_001026,HN
hsq,0.059806,0.108783,asv_001026,HN
Pi,0.001678,0.002005,asv_001052,HN
